Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
102327,Armor,John Steakley,"Steakley, John",,886773687,9780886773687,5,4.12,DAW,Mass Market Paperback,426,1984,1984,,2012/03/18,sci-fi,sci-fi (#11),read,,,,,,,0,,,,,
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,385732554,9780385732550,5,4.12,Ember,Mass Market Paperback,224,2006,1993,,2011/12/02,sci-fi,sci-fi (#23),read,,,,,,,0,,,,,
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,60510862,9780060510862,5,4.13,Voyager,Paperback,278,2003,1974,,2011/12/02,sci-fi,sci-fi (#31),read,,,,,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,340839937,9780340839935,0,4.16,Hodder & Stoughton,Paperback,604,2006,1965,,2012/03/18,sci-fi,sci-fi (#8),read,,,,,,,0,,,,,
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,61474096,9780061474095,5,4.17,William Morrow & Company,Hardcover,937,2008,2008,2014/09/24,2014/09/10,sci-fi,sci-fi (#72),read,,,,,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,345391802,9780345391803,4,4.19,Del Rey Books,Mass Market Paperback,216,1995,1979,,2012/03/18,sci-fi,sci-fi (#7),read,,,,,,,0,,,,,
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,765348276,9780765348272,5,4.22,Tor Books,Mass Market Paperback,314,2007,2005,,2011/12/03,sci-fi,sci-fi (#19),read,,,,,,,0,,,,,
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,,,5,4.28,Bantam,Kindle Edition,1125,2011,2011,,2014/07/10,sci-fi,sci-fi (#71),read,,,,,,,0,,,,,
375802,"Ender's Game (The Ender Quintet, #1)",Orson Scott Card,"Card, Orson Scott",,812550706,9780812550702,5,4.29,Tor Science Fiction,Paperback,324,1994,1985,,2011/12/02,sci-fi,sci-fi (#22),read,,,,,,,0,,,,,
21845122,"Qualify (The Atlantis Grail, #1)",Vera Nazarian,"Nazarian, Vera",,1607621339,9781607621331,0,4.36,Norilana Books,Paperback,600,2014,2014,,2015/10/01,sci-fi,sci-fi (#85),read,,,,,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,553381695,9780553381696,5,4.39,Bantam,Paperback,761,2002,1998,2014/07/24,2014/07/10,sci-fi,sci-fi (#68),read,,,,,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,553588486,9780553588484,5,4.44,Bantam,Mass Market Paperback,835,2005,1996,2014/07/10,2014/03/25,sci-fi,sci-fi (#61),read,,,,,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,055357342X,9780553573428,5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,,2014/07/10,sci-fi,sci-fi (#69),read,,,,,,,0,,,,,
